epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.768,0.94886,2.56586,1.06744,0.95823,0.91102,0.9587,0.76116,0.66641,0.59207,0.90309,0.000195752,0.000195752,0.000195752
2,769.145,0.78761,0.96832,0.97212,0.97496,0.94563,0.97795,0.78992,0.62123,0.48332,0.8944,0.000352968,0.000352968,0.000352968
3,1141.07,0.73752,0.64319,0.95188,0.98164,0.96182,0.98302,0.81835,0.55823,0.40721,0.87175,0.000471377,0.000471377,0.000471377
4,1512.78,0.68494,0.5216,0.93214,0.98464,0.95985,0.98496,0.83632,0.52369,0.37584,0.86209,0.000413364,0.000413364,0.000413364
5,1880.29,0.63951,0.44318,0.91376,0.98903,0.96977,0.98678,0.85409,0.48843,0.32125,0.85365,0.000355152,0.000355152,0.000355152
6,2249.29,0.59358,0.39166,0.89719,0.98445,0.97695,0.989,0.87075,0.45587,0.29283,0.83647,0.00029694,0.00029694,0.00029694
7,2622.41,0.5586,0.35568,0.88212,0.99294,0.98098,0.99161,0.87762,0.44464,0.2762,0.83438,0.000238728,0.000238728,0.000238728
8,2994.16,0.52084,0.32707,0.86957,0.99001,0.98442,0.99177,0.89388,0.40334,0.25191,0.82301,0.000180516,0.000180516,0.000180516
9,3367.71,0.4914,0.3029,0.8582,0.99212,0.98661,0.99236,0.9044,0.37979,0.23638,0.81499,0.000122304,0.000122304,0.000122304
10,3740.23,0.4661,0.28504,0.84753,0.99332,0.98657,0.99261,0.91186,0.36282,0.22274,0.81006,6.4092e-05,6.4092e-05,6.4092e-05
